Longitude,Latitude,Hotel Name
"-0,46765","51,89297", GB-Travelodge
"-0,15724","51,50125", GB-Park Tower
"-0,12374","51,52991", GB-Belgrove Hotel
"0,01965","51,54561", GB-Forest View Hotel
"0,15573","51,44586", GB-London - Bexley
"-0,15683","51,49288", GB-Sloan Square Moat House
"-0,19798","51,10932", GB-Premier Travel Inn-London Gatwick
"-0,14301","51,51127", GB-Westbury
"-0,18295","51,51106", GB-Thistle
"-0,18277","51,52254", GB-Brindle House Hotel
"-0,22465","51,50692", GB-Wood Lane Hotel
"-0,45317","51,5", GB-Crowne Plaza-London Heathrow
"-0,26174","51,01524", GB-South Lodge
"-0,32593","51,75678", GB-Ardmore House
"-0,2037","51,90344", GB-Ibis Stevenage Centre
"-0,20254","51,24903", GB-Reigate Manor Hotel
"-0,1531","51,5213", GB-Regency
"0,03949","51,27061", GB-Premier Travel Inn Clacket Lane W
"-0,42349","51,82227", GB-Express By Holiday Inn
"-0,43051","51,48066", GB-Ibis-London Heathrow
"-0,40163","51,6564", GB-White House
"-0,13573","51,51868", GB-Rathbone Hotel
"-0,14883","51,49457", GB-B&B
"-0,15478","51,49674", GB-Belgravia Hotel
"-0,06264","51,33917", GB-Selsdon Park
"-0,44622","51,48085", GB-Renaissance Hotel-London Heathrow
"-0,12396","51,52931", GB-Central Hotel
"-0,08973","51,47391", GB-New Dome Hotel
"0,20202","51,58719", GB-Gidea Park Hotel
"-0,16947","51,51936", GB-London Metropole
"-0,45949","51,49821", GB-London Heathrow
"-0,24143","51,74566", GB-Quality Hotel Hatfield
"0,27105","51,36281", GB-Brandshatch Place
"-0,18732","51,49461", GB-Kensington Rooms
"-0,2805","51,39793", GB-Berrylands Hotel
"-0,17148","51,51588", GB-Pacific Hotel
"-0,28639","51,95945", GB-Firs Hotel
"0,25509","51,35837", GB-Brands Hatch
"-0,40014","51,34111", GB-Cobham
"-0,00966","51,45914", GB-Grove Hotel
"-0,20358","51,51227", GB-Portobello
"-0,1365","51,52891", GB-Thistle Euston
"-0,51718","51,88682", GB-Hanover International Hotel
"-0,29112","51,51154", GB-Ramada Jarvis
"-0,17968","51,51552", GB-Hyde Park (Paddington) Hotel
"-0,14218","51,50923", GB-Raffles Browns
"-0,1338","51,42096", GB-Barrow House
"-0,16667","51,55165", GB-Holiday Inn London Hampstead
"-0,56138","51,2485", GB-Guildford
"-0,19206","51,49888", GB-Copthorne Tara
"0,07335","51,55758", GB-London Ilford Central
"0,07355","51,55738", GB-Travelodge
"-0,39639","51,48773", GB-Heston Travelodge
"-0,13084","51,52074", GB-Langlands
"-0,14297","51,51765", GB-St Georges
"-0,16841","51,12603", GB-Jarvis Gatwick
"-0,43986","51,48102", GB-Heathrow
"-0,09427","51,47948", GB-Pasha
"-0,13973","51,51879", GB-Langham Court
"-0,20607","51,10959", GB-Gatwick South
"-0,33226","51,58183", GB-Cumberland
"-0,15834","51,49467", GB-Durley House
"-0,14815","51,18071", GB-Langshott Manor
"-0,0934","51,5069", GB-Premier Travel Inn
"-0,32202","51,25475", GB-Heritage Burford Bridge
"-0,02002","51,6764", GB-Enfield
"-0,12271","51,48042", GB-Vauxhall
"-0,12965","51,52775", GB-Premier Travel Inn Capital
"-0,22175","51,68702", GB-Days Inn South Mimms A1(M)/M25
"-0,1235","51,52968", GB-Hotel California
"0,0248","51,50808", GB-Novotel London Excel
"0,21679","51,44441", GB-Royal Victoria & Bull Hotel
"-0,5792","51,50917", GB-Premier Travel Inn
"0,07387","51,53423", GB-London East Barking
"-0,16396","51,51634", GB-Marble Arch Marriott
"-0,13571","51,52852", GB-Euston
"-0,15762","51,51714", GB-Wigmore Court Hotel
"-0,20726","51,11159", GB-Premier Travel Inn Gatwick South
"-0,13517","51,509", GB-22 Jermyn Street
"-0,13629","51,49404", GB-Grange Rochester
"-0,20772","51,35956", GB-Thatched House
"-0,20793","51,53873", GB-Igar Hotels
"-0,13046","51,51166", GB-Premier Shaftesbury Hotel
"0,01823","51,59394", GB-Grove Hill Hotel
"-0,11091","51,60734", GB-Maryland Lodge
"-0,08017","51,01419", GB-Bent Arms Hotel
"-0,17312","51,51482", GB-Albro House Hotel
"-0,12612","51,52617", GB-Harlingford
"0,07641","51,55783", GB-Woodlands Hotel
"-0,59341","51,40866", GB-The Wheatsheaf
"-0,02526","51,38911", GB-Beckenham
"-0,36328","51,72118", GB-St Albans
"-0,40515","51,45306", GB-Chenin Hounslow Hotel
"-0,14314","51,51943", GB-Hallam Hotel
"-0,11213","51,52587", GB-London-Kings Cross Bloomsbury
"-0,19302","51,5135", GB-Pembridge Palace Hotel
"-0,44857","51,55252", GB-Master Brewer
"-0,3044","51,45712", GB-Riverside Hotel
"-0,28784","51,55651", GB-Wembley
"-0,26043","51,66231", GB-Borehamwood
"-0,40063","51,58307", GB-Tudor Lodge
"-0,5785","51,50982", GB-Premier Travel Inn
"-0,14396","51,45729", GB-Windmill On The Common
"-0,16009","51,51585", GB-Concorde
"-0,0994","51,56808", GB-Costello Palace
"-0,12236","51,62477", GB-Southgate
"-0,14788","51,50508", GB-London Mews
"-0,07571","51,51014", GB-London Tower Bridge
"-0,10236","51,43727", GB-Longwood Hotel
"-0,42379","51,4805", GB-London Heathrow Airport
"-0,50505","51,39285", GB-Old Swan Hotel
"-0,11433","51,52711", GB-London Ryan
"-0,17485","51,49454", GB-Pelham
"-0,44157","51,48103", GB-Radisson Edwardian-London Heathrow
"-0,1371","51,52929", GB-Thistle
"-0,19105","51,51228", GB-Bayswater
"-0,17476","51,1639", GB-Premier Travel Inn-London Gatwick
"-0,12327","51,52082", GB-Bloomsbury Park
"-0,27892","51,50542", GB-Mill Hill Hotel
"-0,15867","51,49843", GB-Hyatt Carlton Tower
"-0,25703","51,40417", GB-Railway Hotel
"-0,44853","51,49662", GB-Premier Travel Inn
"-0,20184","51,65595", GB-Savoro Restaurant
"0,25898","51,13444", GB-Royal Wells Inn
"-0,12339","51,52339", GB-London - Bloomsbury
"-0,19511","51,49177", GB-Rushmore Hotel
"-0,10799","51,53155", GB-Jurys Inn London
"-0,17832","51,51514", GB-Hite Hotel
"-0,12745","51,51666", GB-Jurys Great Russell Street Hotel
"0,06673","51,56093", GB-Cranford Hotel
"-0,17136","51,51575", GB-Darlington Hyde Park
"-0,15326","51,52227", GB-Prince Regent Hotel
"0,1573","51,712", GB-Harlow East Stansted
"-0,19153","51,4946", GB-The Hogarth
"-0,52724","51,67333", GB-Bedford Arms
"0,03","51,54689", GB-Mccreadie
"-0,45268","51,499", GB-London - Heathrow
"-0,21167","51,5046", GB-London Kensington
"-0,17995","51,491", GB-Cranley Gardens
"-0,11872","51,51784", GB-Citadines Apart'hotel
"-0,45577","51,37395", GB-Ship
"0,26819","51,47582", GB-London Thurrock M25
"-0,1355","51,51848", GB-Rathbone
"-0,17118","51,11425", GB-Express By Holiday Inn
"-0,17472","51,5157", GB-Hotel Sophia
"0,15149","51,78084", GB-Churchgate Hotel
"-0,17269","51,51546", GB-Olympic House
"-0,14916","51,517", GB-Holiday Inn
"0,29484","51,92306", GB-Whitehall
"-0,12391","51,13372", GB-London Gatwick
"-0,15421","51,51486", GB-Selfridge
"-0,36481","51,72088", GB-St Albans Thistle
"-0,08277","51,3796", GB-Blizz Hotel
"-0,09527","51,50596", GB-Southwark Rose Hotel
"-0,12439","51,52985", GB-Florence Hotel
"-0,13004","51,50972", GB-Piccadilly
"-0,14489","51,50616", GB-Flemings
"-0,31801","51,74024", GB-Avalon
"-0,15749","51,49806", GB-The Carlton Tower
"-0,10484","51,39686", GB-Jilomi Hotel
"-0,1656","51,46151", GB-Barclay Court
"-0,39429","51,6614", GB-Wellington Arms
"-0,19022","51,51363", GB-West Two Hotel
"0,03347","51,0993", GB-Chequers Inn
"-0,18515","51,13911", GB-Premier Travel Inn-London Gatwick
"-0,53434","51,4883", GB-Heathrow
"-0,25567","51,54072", GB-Helens Hotel
"0,02671","51,06882", GB-Beechwood Inn
"-0,17269","51,51427", GB-Barry House Hotel
"0,02903","51,54667", GB-St Andrews Hotel
"-0,33607","51,70741", GB-Premier Travel Inn
"-0,15531","51,50938", GB-Grosvenor House
"-0,09954","51,35751", GB-Hayesthorpe Hotel
"-0,14342","51,59167", GB-Raglan Hall
"-0,42711","51,37473", GB-Weybridge
"-0,28372","51,55523", GB-Wembley Plaza
"-0,36678","51,46812", GB-Premier Travel Inn
"-0,13925","51,49092", GB-Central House Hotel
"-0,15673","51,49084", GB-Willett Hotel
"-0,43472","51,33413", GB-Hilton National Cobham
"-0,39751","51,55865", GB-Days Inn
"-0,14612","51,50728", GB-Washington Mayfair
"-0,17286","51,51537", GB-Beverley House Hotel
"-0,14128","51,49176", GB-Hamilton House
"-0,23123","51,49231", GB-London - Hammersmith
"-0,09019","51,49414", GB-Driscoll House
